,Classifier Name,Precision,Recall,F-score
97,Naive Bayes,0.5,0.25,0.3333333333333333
98,SVM,0.3333333333333333,0.375,0.35294117647058826
99,MLP,0.3333333333333333,0.75,0.46153846153846156
100,Random Forest,0.75,0.75,0.75
101,Biased Classifier,0.12307692307692308,1.0,0.21917808219178084
102,Decision Tree,0.3333333333333333,0.35294117647058826,0.34285714285714286
103,Naive Bayes,0.5,0.29411764705882354,0.37037037037037035
104,SVM,0.6666666666666666,0.35294117647058826,0.46153846153846156
105,MLP,0.46153846153846156,0.35294117647058826,0.4000000000000001
106,Random Forest,0.42857142857142855,0.35294117647058826,0.3870967741935484
107,Biased Classifier,0.26153846153846155,1.0,0.41463414634146345
108,Decision Tree,0.46153846153846156,0.375,0.41379310344827586
109,Naive Bayes,0.6666666666666666,0.375,0.4800000000000001
110,SVM,0.8333333333333334,0.3125,0.45454545454545453
111,MLP,0.35714285714285715,0.3125,0.3333333333333333
112,Random Forest,0.6666666666666666,0.5,0.5714285714285715
113,Biased Classifier,0.25,1.0,0.4
114,Decision Tree,0.6363636363636364,0.4375,0.5185185185185185
115,Naive Bayes,0.7777777777777778,0.4375,0.56
116,SVM,0.8571428571428571,0.375,0.5217391304347825
117,MLP,0.6363636363636364,0.4375,0.5185185185185185
118,Random Forest,0.6666666666666666,0.375,0.4800000000000001
119,Biased Classifier,0.25,1.0,0.4
120,Decision Tree,0.3333333333333333,0.1875,0.24000000000000005
121,Naive Bayes,0.6666666666666666,0.375,0.4800000000000001
122,SVM,0.7777777777777778,0.4375,0.56
123,MLP,0.3888888888888889,0.4375,0.411764705882353
124,Random Forest,0.5555555555555556,0.3125,0.39999999999999997
125,Biased Classifier,0.24615384615384617,1.0,0.39506172839506176
126,Decision Tree,0.6666666666666666,0.42105263157894735,0.5161290322580646
127,Naive Bayes,1.0,0.47368421052631576,0.6428571428571429
128,SVM,1.0,0.2631578947368421,0.4166666666666667
129,MLP,0.6,0.47368421052631576,0.5294117647058824
130,Random Forest,0.7333333333333333,0.5789473684210527,0.6470588235294117
131,Biased Classifier,0.2923076923076923,1.0,0.4523809523809524
132,Decision Tree,0.5,0.3333333333333333,0.4
133,Naive Bayes,0.5555555555555556,0.3333333333333333,0.4166666666666667
134,SVM,0.75,0.4,0.5217391304347827
135,MLP,0.4,0.4,0.4000000000000001
136,Random Forest,0.5,0.3333333333333333,0.4
137,Biased Classifier,0.23076923076923078,1.0,0.375
138,Decision Tree,0.5,0.26666666666666666,0.3478260869565218
139,Naive Bayes,0.42857142857142855,0.2,0.27272727272727276
140,SVM,0.3333333333333333,0.06666666666666667,0.1111111111111111
141,MLP,0.38461538461538464,0.3333333333333333,0.3571428571428571
142,Random Forest,0.6666666666666666,0.26666666666666666,0.3809523809523809
143,Biased Classifier,0.234375,1.0,0.379746835443038
144,Decision Tree,0.3125,0.45454545454545453,0.3703703703703703
145,Naive Bayes,0.42857142857142855,0.2727272727272727,0.33333333333333326
146,SVM,0.5,0.2727272727272727,0.3529411764705882
