,Classifier Name,HyperParameters,Precision,Recall,F-score
55,Naive Bayes,-,1.0,0.2777777777777778,0.4347826086956522
56,SVM,-,1.0,0.2777777777777778,0.4347826086956522
57,MLP,-,0.5454545454545454,0.3333333333333333,0.41379310344827586
58,Random Forest,-,0.875,0.3888888888888889,0.5384615384615385
59,Biased Classifier,-,0.28125,1.0,0.43902439024390244
60,Decision Tree,-,0.5,0.36363636363636365,0.4210526315789474
61,Naive Bayes,-,0.46153846153846156,0.5454545454545454,0.4999999999999999
62,SVM,-,0.4444444444444444,0.36363636363636365,0.39999999999999997
63,MLP,-,0.3333333333333333,0.5454545454545454,0.41379310344827586
64,Random Forest,-,0.4444444444444444,0.36363636363636365,0.39999999999999997
65,Biased Classifier,-,0.16923076923076924,1.0,0.2894736842105263
66,Decision Tree,-,0.625,0.25,0.35714285714285715
67,Naive Bayes,-,0.8333333333333334,0.25,0.3846153846153846
68,SVM,-,0.8,0.2,0.32000000000000006
69,MLP,-,0.2222222222222222,0.1,0.13793103448275865
70,Random Forest,-,0.625,0.25,0.35714285714285715
71,Biased Classifier,-,0.3076923076923077,1.0,0.47058823529411764
72,Decision Tree,-,0.8,0.6666666666666666,0.7272727272727272
73,Naive Bayes,-,0.7142857142857143,0.4166666666666667,0.5263157894736842
74,SVM,-,1.0,0.3333333333333333,0.5
75,MLP,-,0.5454545454545454,0.5,0.5217391304347826
76,Random Forest,-,0.875,0.5833333333333334,0.7000000000000001
77,Biased Classifier,-,0.18461538461538463,1.0,0.3116883116883117
78,Decision Tree,-,0.6666666666666666,0.6666666666666666,0.6666666666666666
79,Naive Bayes,-,0.8571428571428571,0.3333333333333333,0.48
80,SVM,-,0.7272727272727273,0.4444444444444444,0.5517241379310345
81,MLP,-,0.5454545454545454,0.3333333333333333,0.41379310344827586
82,Random Forest,-,0.6428571428571429,0.5,0.5625000000000001
83,Biased Classifier,-,0.28125,1.0,0.43902439024390244
84,Decision Tree,-,0.6,0.4,0.48
85,Naive Bayes,-,0.375,0.2,0.26086956521739135
86,SVM,-,0.8,0.26666666666666666,0.4
87,MLP,-,0.7,0.4666666666666667,0.56
88,Random Forest,-,0.5,0.4,0.4444444444444445
89,Biased Classifier,-,0.234375,1.0,0.379746835443038
90,Decision Tree,-,0.5,0.25,0.3333333333333333
91,Naive Bayes,-,0.3333333333333333,0.1875,0.24000000000000005
92,SVM,-,0.5,0.25,0.3333333333333333
93,MLP,-,0.47058823529411764,0.5,0.48484848484848486
94,Random Forest,-,0.5555555555555556,0.3125,0.39999999999999997
95,Biased Classifier,-,0.24615384615384617,1.0,0.39506172839506176
96,Decision Tree,-,0.8,0.26666666666666666,0.4
97,Naive Bayes,-,0.5555555555555556,0.3333333333333333,0.4166666666666667
98,SVM,-,0.6,0.4,0.48
99,MLP,-,0.4166666666666667,0.3333333333333333,0.3703703703703704
100,Random Forest,-,0.46153846153846156,0.4,0.42857142857142855
101,Biased Classifier,-,0.23076923076923078,1.0,0.375
102,Decision Tree,-,0.5882352941176471,0.5555555555555556,0.5714285714285715
103,Naive Bayes,-,0.8,0.4444444444444444,0.5714285714285714
104,SVM,-,0.75,0.3333333333333333,0.46153846153846156
105,MLP,-,0.5555555555555556,0.5555555555555556,0.5555555555555556
106,Random Forest,-,0.625,0.5555555555555556,0.5882352941176471
107,Biased Classifier,-,0.27692307692307694,1.0,0.4337349397590362
108,Decision Tree,-,0.6153846153846154,0.6153846153846154,0.6153846153846154
109,Naive Bayes,-,1.0,0.3076923076923077,0.47058823529411764
