,Classifier Name,Hyperparameters,Precision,Recall,F-score
216,Decision Tree,2,0.6,0.23076923076923078,0.33333333333333337
217,Naive Bayes,0,0.3333333333333333,0.15384615384615385,0.21052631578947367
218,SVM,1,0.6666666666666666,0.3076923076923077,0.42105263157894735
219,MLP,"(50, 50)",0.6153846153846154,0.6153846153846154,0.6153846153846154
220,Random Forest,5,0.5,0.3076923076923077,0.380952380952381
221,Biased Classifier,Dummy,0.2,1.0,0.33333333333333337
222,Decision Tree,2,0.7272727272727273,0.38095238095238093,0.5
223,Naive Bayes,0,0.75,0.2857142857142857,0.4137931034482759
224,SVM,1,0.75,0.2857142857142857,0.4137931034482759
225,MLP,"(50, 50)",0.6666666666666666,0.2857142857142857,0.4
226,Random Forest,5,0.5882352941176471,0.47619047619047616,0.5263157894736842
227,Biased Classifier,Dummy,0.3230769230769231,1.0,0.48837209302325585
228,Decision Tree,2,0.5,0.1111111111111111,0.1818181818181818
229,Naive Bayes,0,0.5714285714285714,0.4444444444444444,0.5
230,SVM,1,0.7142857142857143,0.5555555555555556,0.6250000000000001
231,MLP,"(50, 50)",0.23076923076923078,0.3333333333333333,0.27272727272727276
232,Random Forest,5,0.42857142857142855,0.3333333333333333,0.375
233,Biased Classifier,Dummy,0.140625,1.0,0.2465753424657534
234,Decision Tree,2,0.5,0.23076923076923078,0.3157894736842105
235,Naive Bayes,0,0.5,0.3076923076923077,0.380952380952381
236,SVM,1,0.5714285714285714,0.3076923076923077,0.4
237,MLP,"(50, 50)",0.3333333333333333,0.46153846153846156,0.3870967741935484
238,Random Forest,5,0.375,0.46153846153846156,0.41379310344827586
239,Biased Classifier,Dummy,0.203125,1.0,0.33766233766233766
240,Decision Tree,2,0.5555555555555556,0.29411764705882354,0.3846153846153846
241,Naive Bayes,0,0.46153846153846156,0.35294117647058826,0.4000000000000001
242,SVM,1,0.4444444444444444,0.23529411764705882,0.30769230769230765
243,MLP,"(50, 50)",0.5,0.5294117647058824,0.5142857142857143
244,Random Forest,5,0.6363636363636364,0.4117647058823529,0.5
245,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
246,Decision Tree,2,0.75,0.3157894736842105,0.44444444444444436
247,Naive Bayes,0,0.875,0.3684210526315789,0.5185185185185185
248,SVM,1,0.875,0.3684210526315789,0.5185185185185185
249,MLP,"(50, 50)",0.46153846153846156,0.3157894736842105,0.37499999999999994
250,Random Forest,5,0.6153846153846154,0.42105263157894735,0.5
251,Biased Classifier,Dummy,0.2923076923076923,1.0,0.4523809523809524
252,Decision Tree,2,0.5555555555555556,0.3333333333333333,0.4166666666666667
253,Naive Bayes,0,0.6666666666666666,0.26666666666666666,0.3809523809523809
254,SVM,1,1.0,0.2,0.33333333333333337
255,MLP,"(50, 50)",0.5,0.3333333333333333,0.4
256,Random Forest,5,0.5,0.2,0.28571428571428575
257,Biased Classifier,Dummy,0.23076923076923078,1.0,0.375
258,Decision Tree,2,0.8333333333333334,0.38461538461538464,0.5263157894736842
259,Naive Bayes,0,0.75,0.46153846153846156,0.5714285714285714
260,SVM,1,1.0,0.38461538461538464,0.5555555555555556
261,MLP,"(50, 50)",0.4,0.3076923076923077,0.34782608695652173
262,Random Forest,5,0.6,0.46153846153846156,0.5217391304347826
263,Biased Classifier,Dummy,0.203125,1.0,0.33766233766233766
264,Decision Tree,2,0.6666666666666666,0.3333333333333333,0.4444444444444444
265,Naive Bayes,0,0.7142857142857143,0.4166666666666667,0.5263157894736842
266,SVM,1,0.42857142857142855,0.25,0.3157894736842105
267,MLP,"(50, 50)",0.3,0.25,0.2727272727272727
268,Random Forest,5,0.3888888888888889,0.5833333333333334,0.4666666666666666
269,Biased Classifier,Dummy,0.1875,1.0,0.3157894736842105
270,Decision Tree,2,0.5,0.4166666666666667,0.45454545454545453
271,Naive Bayes,0,0.38461538461538464,0.4166666666666667,0.4
272,SVM,1,0.4444444444444444,0.3333333333333333,0.380952380952381
273,MLP,"(50, 50)",0.2222222222222222,0.3333333333333333,0.26666666666666666
274,Random Forest,5,0.5,0.5,0.5
275,Biased Classifier,Dummy,0.18461538461538463,1.0,0.3116883116883117
276,Decision Tree,2,0.5,0.42857142857142855,0.4615384615384615
277,Naive Bayes,0,0.625,0.35714285714285715,0.45454545454545453
278,SVM,1,0.8333333333333334,0.35714285714285715,0.5
279,MLP,"(50, 50)",0.5384615384615384,0.5,0.5185185185185186
280,Random Forest,5,0.6363636363636364,0.5,0.56
281,Biased Classifier,Dummy,0.2153846153846154,1.0,0.35443037974683544
282,Decision Tree,2,0.75,0.4090909090909091,0.5294117647058824
283,Naive Bayes,0,0.8,0.36363636363636365,0.5000000000000001
284,SVM,1,1.0,0.22727272727272727,0.37037037037037035
285,MLP,"(50, 50)",0.6428571428571429,0.4090909090909091,0.5000000000000001
286,Random Forest,5,0.5555555555555556,0.45454545454545453,0.5
287,Biased Classifier,Dummy,0.3384615384615385,1.0,0.5057471264367815
288,Decision Tree,2,0.8,0.4444444444444444,0.5714285714285714
289,Naive Bayes,0,1.0,0.2222222222222222,0.3636363636363636
290,SVM,1,1.0,0.16666666666666666,0.2857142857142857
291,MLP,"(50, 50)",0.6666666666666666,0.4444444444444444,0.5333333333333333
292,Random Forest,5,0.6923076923076923,0.5,0.5806451612903226
293,Biased Classifier,Dummy,0.28125,1.0,0.43902439024390244
294,Decision Tree,2,0.4444444444444444,0.4,0.4210526315789474
295,Naive Bayes,0,0.8,0.4,0.5333333333333333
296,SVM,1,0.625,0.5,0.5555555555555556
297,MLP,"(50, 50)",0.4375,0.7,0.5384615384615384
298,Random Forest,5,0.5,0.8,0.6153846153846154
299,Biased Classifier,Dummy,0.15625,1.0,0.2702702702702703
300,Decision Tree,2,0.14285714285714285,0.09090909090909091,0.1111111111111111
301,Naive Bayes,0,0.38461538461538464,0.45454545454545453,0.41666666666666663
302,SVM,1,0.25,0.18181818181818182,0.2105263157894737
303,MLP,"(50, 50)",0.25,0.36363636363636365,0.2962962962962963
304,Random Forest,5,0.16666666666666666,0.18181818181818182,0.17391304347826086
305,Biased Classifier,Dummy,0.16923076923076924,1.0,0.2894736842105263
306,Decision Tree,2,0.6666666666666666,0.47058823529411764,0.5517241379310345
307,Naive Bayes,0,0.7142857142857143,0.29411764705882354,0.4166666666666667
308,SVM,1,0.8,0.23529411764705882,0.3636363636363636
309,MLP,"(50, 50)",0.7,0.4117647058823529,0.5185185185185185
310,Random Forest,5,0.6923076923076923,0.5294117647058824,0.5999999999999999
311,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
312,Decision Tree,2,0.875,0.4666666666666667,0.608695652173913
313,Naive Bayes,0,0.8571428571428571,0.4,0.5454545454545455
314,SVM,1,1.0,0.4666666666666667,0.6363636363636364
315,MLP,"(50, 50)",0.3333333333333333,0.2,0.25
316,Random Forest,5,0.625,0.3333333333333333,0.43478260869565216
317,Biased Classifier,Dummy,0.23076923076923078,1.0,0.375
318,Decision Tree,2,0.8,0.3333333333333333,0.47058823529411764
319,Naive Bayes,0,0.625,0.4166666666666667,0.5
320,SVM,1,0.75,0.25,0.375
321,MLP,"(50, 50)",0.4166666666666667,0.4166666666666667,0.4166666666666667
322,Random Forest,5,0.3,0.25,0.2727272727272727
323,Biased Classifier,Dummy,0.1875,1.0,0.3157894736842105
324,Decision Tree,2,0.6428571428571429,0.42857142857142855,0.5142857142857143
325,Naive Bayes,0,0.8571428571428571,0.2857142857142857,0.42857142857142855
326,SVM,1,0.875,0.3333333333333333,0.48275862068965514
327,MLP,"(50, 50)",0.7222222222222222,0.6190476190476191,0.6666666666666666
328,Random Forest,5,0.65,0.6190476190476191,0.6341463414634146
329,Biased Classifier,Dummy,0.328125,1.0,0.49411764705882355
330,Decision Tree,2,0.42857142857142855,0.3,0.3529411764705882
331,Naive Bayes,0,0.5,0.5,0.5
332,SVM,1,0.5555555555555556,0.5,0.5263157894736842
333,MLP,"(50, 50)",0.375,0.6,0.4615384615384615
334,Random Forest,5,0.42857142857142855,0.6,0.5
335,Biased Classifier,Dummy,0.15384615384615385,1.0,0.2666666666666667
336,Decision Tree,2,0.7142857142857143,0.3125,0.43478260869565216
337,Naive Bayes,0,0.3333333333333333,0.1875,0.24000000000000005
338,SVM,1,0.625,0.3125,0.4166666666666667
339,MLP,"(50, 50)",0.5714285714285714,0.5,0.5333333333333333
340,Random Forest,5,0.7142857142857143,0.3125,0.43478260869565216
341,Biased Classifier,Dummy,0.24615384615384617,1.0,0.39506172839506176
342,Decision Tree,2,0.8571428571428571,0.375,0.5217391304347825
343,Naive Bayes,0,0.8888888888888888,0.5,0.64
344,SVM,1,0.8333333333333334,0.3125,0.45454545454545453
345,MLP,"(50, 50)",0.35294117647058826,0.375,0.3636363636363636
346,Random Forest,5,0.3684210526315789,0.4375,0.39999999999999997
347,Biased Classifier,Dummy,0.24615384615384617,1.0,0.39506172839506176
348,Decision Tree,2,0.6470588235294118,0.5789473684210527,0.6111111111111113
349,Naive Bayes,0,0.7777777777777778,0.3684210526315789,0.5
350,SVM,1,0.6666666666666666,0.3157894736842105,0.42857142857142855
351,MLP,"(50, 50)",0.6666666666666666,0.3157894736842105,0.42857142857142855
352,Random Forest,5,0.7333333333333333,0.5789473684210527,0.6470588235294117
353,Biased Classifier,Dummy,0.296875,1.0,0.4578313253012048
354,Decision Tree,2,0.5,0.26666666666666666,0.3478260869565218
355,Naive Bayes,0,1.0,0.13333333333333333,0.23529411764705882
356,SVM,1,1.0,0.13333333333333333,0.23529411764705882
357,MLP,"(50, 50)",0.5384615384615384,0.4666666666666667,0.5
358,Random Forest,5,0.5,0.4,0.4444444444444445
359,Biased Classifier,Dummy,0.234375,1.0,0.379746835443038
360,Decision Tree,2,0.4,0.2857142857142857,0.3333333333333333
361,Naive Bayes,0,0.3333333333333333,0.21428571428571427,0.2608695652173913
362,SVM,1,0.42857142857142855,0.21428571428571427,0.2857142857142857
363,MLP,"(50, 50)",0.2857142857142857,0.2857142857142857,0.2857142857142857
364,Random Forest,5,0.4166666666666667,0.35714285714285715,0.3846153846153846
365,Biased Classifier,Dummy,0.2153846153846154,1.0,0.35443037974683544
366,Decision Tree,2,0.7777777777777778,0.4117647058823529,0.5384615384615384
367,Naive Bayes,0,0.7142857142857143,0.29411764705882354,0.4166666666666667
368,SVM,1,0.75,0.35294117647058826,0.48
369,MLP,"(50, 50)",0.5384615384615384,0.4117647058823529,0.4666666666666667
370,Random Forest,5,0.6,0.5294117647058824,0.5625
371,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
372,Decision Tree,2,0.8181818181818182,0.5294117647058824,0.6428571428571428
373,Naive Bayes,0,0.8,0.23529411764705882,0.3636363636363636
374,SVM,1,1.0,0.29411764705882354,0.45454545454545453
375,MLP,"(50, 50)",0.5833333333333334,0.4117647058823529,0.4827586206896552
376,Random Forest,5,0.7,0.4117647058823529,0.5185185185185185
377,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
378,Decision Tree,2,0.6666666666666666,0.36363636363636365,0.4705882352941177
379,Naive Bayes,0,0.5714285714285714,0.36363636363636365,0.4444444444444444
380,SVM,1,0.875,0.6363636363636364,0.7368421052631579
381,MLP,"(50, 50)",0.47058823529411764,0.7272727272727273,0.5714285714285714
382,Random Forest,5,0.5,0.6363636363636364,0.56
383,Biased Classifier,Dummy,0.171875,1.0,0.29333333333333333
384,Decision Tree,2,0.5,0.35294117647058826,0.41379310344827586
385,Naive Bayes,0,0.6923076923076923,0.5294117647058824,0.5999999999999999
386,SVM,1,0.8571428571428571,0.35294117647058826,0.5
387,MLP,"(50, 50)",0.42857142857142855,0.5294117647058824,0.4736842105263158
388,Random Forest,5,0.5625,0.5294117647058824,0.5454545454545455
389,Biased Classifier,Dummy,0.265625,1.0,0.41975308641975306
390,Decision Tree,2,0.5,0.2727272727272727,0.3529411764705882
391,Naive Bayes,0,0.5,0.2727272727272727,0.3529411764705882
