,Classifier Name,Hyperparameters,Precision,Recall,F-score
2402,SVM,100.0,0.6666666666666666,0.36363636363636365,0.4705882352941177
2403,MLP,,0.35714285714285715,0.45454545454545453,0.4
2404,Random Forest,200.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
2405,Biased Classifier,,0.16923076923076924,1.0,0.2894736842105263
2406,Decision Tree,100.0,0.5789473684210527,0.5789473684210527,0.5789473684210527
2407,Naive Bayes,,0.7142857142857143,0.2631578947368421,0.3846153846153846
2408,SVM,100.0,1.0,0.21052631578947367,0.34782608695652173
2409,MLP,,0.5833333333333334,0.3684210526315789,0.4516129032258065
2410,Random Forest,200.0,0.7777777777777778,0.3684210526315789,0.5
2411,Biased Classifier,,0.2923076923076923,1.0,0.4523809523809524
2412,Decision Tree,100.0,0.5263157894736842,0.625,0.5714285714285714
2413,Naive Bayes,,0.7142857142857143,0.3125,0.43478260869565216
2414,SVM,100.0,0.75,0.375,0.5
2415,MLP,,0.6923076923076923,0.5625,0.6206896551724138
2416,Random Forest,200.0,0.75,0.5625,0.6428571428571429
2417,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
2418,Decision Tree,100.0,0.4,0.42857142857142855,0.4137931034482759
2419,Naive Bayes,,0.4444444444444444,0.2857142857142857,0.34782608695652173
2420,SVM,100.0,0.5,0.35714285714285715,0.41666666666666663
2421,MLP,,0.29411764705882354,0.35714285714285715,0.3225806451612903
2422,Random Forest,200.0,0.5,0.35714285714285715,0.41666666666666663
2423,Biased Classifier,,0.21875,1.0,0.358974358974359
2424,Decision Tree,100.0,0.42857142857142855,0.5625,0.4864864864864864
2425,Naive Bayes,,0.7,0.4375,0.5384615384615384
2426,SVM,100.0,0.5833333333333334,0.4375,0.5
2427,MLP,,0.5,0.5,0.5
2428,Random Forest,200.0,0.6153846153846154,0.5,0.5517241379310345
2429,Biased Classifier,,0.25,1.0,0.4
2430,Decision Tree,100.0,0.35294117647058826,0.6,0.4444444444444445
2431,Naive Bayes,,0.5,0.5,0.5
2432,SVM,100.0,0.5555555555555556,0.5,0.5263157894736842
2433,MLP,,0.38461538461538464,0.5,0.4347826086956522
2434,Random Forest,200.0,0.4666666666666667,0.7,0.56
2435,Biased Classifier,,0.15384615384615385,1.0,0.2666666666666667
2436,Decision Tree,100.0,0.6,0.47368421052631576,0.5294117647058824
2437,Naive Bayes,,0.7272727272727273,0.42105263157894735,0.5333333333333333
2438,SVM,100.0,0.8,0.42105263157894735,0.5517241379310345
2439,MLP,,0.46153846153846156,0.3157894736842105,0.37499999999999994
2440,Random Forest,200.0,0.7142857142857143,0.5263157894736842,0.6060606060606061
2441,Biased Classifier,,0.2923076923076923,1.0,0.4523809523809524
2442,Decision Tree,100.0,0.5625,0.42857142857142855,0.4864864864864864
2443,Naive Bayes,,0.7,0.3333333333333333,0.45161290322580644
2444,SVM,100.0,0.6666666666666666,0.19047619047619047,0.2962962962962963
2445,MLP,,0.6111111111111112,0.5238095238095238,0.5641025641025642
2446,Random Forest,200.0,0.6666666666666666,0.38095238095238093,0.4848484848484849
2447,Biased Classifier,,0.3230769230769231,1.0,0.48837209302325585
2448,Decision Tree,100.0,0.25,0.21428571428571427,0.23076923076923075
2449,Naive Bayes,,0.5714285714285714,0.2857142857142857,0.38095238095238093
2450,SVM,100.0,0.5714285714285714,0.2857142857142857,0.38095238095238093
2451,MLP,,0.375,0.21428571428571427,0.2727272727272727
2452,Random Forest,200.0,0.7142857142857143,0.35714285714285715,0.4761904761904762
2453,Biased Classifier,,0.21875,1.0,0.358974358974359
2454,Decision Tree,100.0,0.3333333333333333,0.5,0.4
2455,Naive Bayes,,0.75,0.25,0.375
2456,SVM,100.0,1.0,0.25,0.4
2457,MLP,,0.5,0.5833333333333334,0.5384615384615384
2458,Random Forest,200.0,0.75,0.5,0.6
2459,Biased Classifier,,0.1875,1.0,0.3157894736842105
2460,Decision Tree,100.0,0.3888888888888889,0.5,0.43750000000000006
2461,Naive Bayes,,0.5384615384615384,0.5,0.5185185185185186
2462,SVM,100.0,0.75,0.21428571428571427,0.3333333333333333
2463,MLP,,0.3333333333333333,0.35714285714285715,0.3448275862068965
2464,Random Forest,200.0,0.4,0.42857142857142855,0.4137931034482759
2465,Biased Classifier,,0.2153846153846154,1.0,0.35443037974683544
2466,Decision Tree,100.0,0.5263157894736842,0.625,0.5714285714285714
2467,Naive Bayes,,0.7777777777777778,0.4375,0.56
2468,SVM,100.0,1.0,0.375,0.5454545454545454
2469,MLP,,0.9,0.5625,0.6923076923076923
2470,Random Forest,200.0,0.9090909090909091,0.625,0.7407407407407406
2471,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
2472,Decision Tree,100.0,0.45,0.5625,0.5
2473,Naive Bayes,,0.6666666666666666,0.375,0.4800000000000001
2474,SVM,100.0,0.875,0.4375,0.5833333333333334
2475,MLP,,0.4,0.5,0.4444444444444445
2476,Random Forest,200.0,0.46153846153846156,0.375,0.41379310344827586
2477,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
2478,Decision Tree,100.0,0.4375,0.5384615384615384,0.4827586206896552
2479,Naive Bayes,,0.6666666666666666,0.15384615384615385,0.25
2480,SVM,100.0,0.6666666666666666,0.3076923076923077,0.42105263157894735
2481,MLP,,0.3,0.23076923076923078,0.2608695652173913
2482,Random Forest,200.0,0.5,0.3076923076923077,0.380952380952381
2483,Biased Classifier,,0.203125,1.0,0.33766233766233766
2484,Decision Tree,100.0,0.5,0.5882352941176471,0.5405405405405405
2485,Naive Bayes,,0.5,0.17647058823529413,0.2608695652173913
2486,SVM,100.0,0.6666666666666666,0.23529411764705882,0.3478260869565218
2487,MLP,,0.375,0.35294117647058826,0.3636363636363636
2488,Random Forest,200.0,0.6666666666666666,0.35294117647058826,0.46153846153846156
2489,Biased Classifier,,0.265625,1.0,0.41975308641975306
2490,Decision Tree,100.0,0.5294117647058824,0.6428571428571429,0.5806451612903226
2491,Naive Bayes,,0.8,0.5714285714285714,0.6666666666666666
2492,SVM,100.0,1.0,0.42857142857142855,0.6
2493,MLP,,0.6,0.42857142857142855,0.5
2494,Random Forest,200.0,0.8,0.5714285714285714,0.6666666666666666
2495,Biased Classifier,,0.2153846153846154,1.0,0.35443037974683544
2496,Decision Tree,100.0,0.3125,0.3125,0.3125
2497,Naive Bayes,,0.4444444444444444,0.25,0.32
2498,SVM,100.0,0.5555555555555556,0.3125,0.39999999999999997
2499,MLP,,0.47368421052631576,0.5625,0.5142857142857142
2500,Random Forest,200.0,0.5454545454545454,0.375,0.4444444444444444
2501,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
2502,Decision Tree,100.0,0.55,0.5789473684210527,0.5641025641025641
2503,Naive Bayes,,0.8333333333333334,0.2631578947368421,0.39999999999999997
2504,SVM,100.0,0.875,0.3684210526315789,0.5185185185185185
2505,MLP,,0.55,0.5789473684210527,0.5641025641025641
2506,Random Forest,200.0,0.5294117647058824,0.47368421052631576,0.5
2507,Biased Classifier,,0.2923076923076923,1.0,0.4523809523809524
2508,Decision Tree,100.0,0.35714285714285715,0.38461538461538464,0.3703703703703704
2509,Naive Bayes,,0.4,0.3076923076923077,0.34782608695652173
2510,SVM,100.0,0.6,0.23076923076923078,0.33333333333333337
2511,MLP,,0.46153846153846156,0.46153846153846156,0.46153846153846156
2512,Random Forest,200.0,0.5384615384615384,0.5384615384615384,0.5384615384615384
2513,Biased Classifier,,0.203125,1.0,0.33766233766233766
2514,Decision Tree,100.0,0.35294117647058826,0.42857142857142855,0.3870967741935484
2515,Naive Bayes,,1.0,0.2857142857142857,0.4444444444444445
2516,SVM,100.0,1.0,0.2857142857142857,0.4444444444444445
2517,MLP,,0.6363636363636364,0.5,0.56
2518,Random Forest,200.0,0.6666666666666666,0.2857142857142857,0.4
2519,Biased Classifier,,0.21875,1.0,0.358974358974359
2520,Decision Tree,100.0,0.3157894736842105,0.46153846153846156,0.37499999999999994
2521,Naive Bayes,,0.75,0.23076923076923078,0.3529411764705882
2522,SVM,100.0,1.0,0.23076923076923078,0.375
2523,MLP,,0.35294117647058826,0.46153846153846156,0.4000000000000001
2524,Random Forest,200.0,0.75,0.46153846153846156,0.5714285714285714
2525,Biased Classifier,,0.2,1.0,0.33333333333333337
2526,Decision Tree,100.0,0.45,0.5294117647058824,0.48648648648648646
2527,Naive Bayes,,0.5384615384615384,0.4117647058823529,0.4666666666666667
